video_id,rate,count,duration
20210411194658_chMd3jjfrmo,85.1,15.5,10.93
20210410150249_FhJGSk06BuA,91.6,2,1.31
20210416124915_ngi8blAZTEE,121.8,3.3,1.625
20210408184003_QdVdXfRmORE,109.1,6,3.3
20210416132245_90q19HTvm28,106.7,4,2.25
20210411192847_dGMSxrT3VL4,115.4,3,1.56
20210408184757_uMPqTwLYWGc,99.1,4.75,2.875
20210411224045_O1Sy5QNPPQI,120.0,9,4.5
20210415203836_ydYa7NGfDco,111.2,7.75,4.18
20210415203955_ydYa7NGfDco,126.0,10.75,5.12
20210408173030_8Yo_hmuUaFs,105.0,14,8
20210415175441_pE6dSsMM6nE,142.0,30,12.68
20210415204621_Qb8YtgKrWzs,133.3,25,11.25
20210415175557_pE6dSsMM6nE,142.6,15,6.31
20210416125844_IzbnQ3JJsFY,138.7,13,5.625
20210408173331_8Yo_hmuUaFs,105.0,14,8
20210415140637_K9cmufsg5Io,123.4,27.5,13.375
20210415175533_qRNNCkVgRQY,99.4,29,17.5
20210415180646_idjGAW1cpzM,112.5,30,16
20210415174720_sFh4VpJ49ko,106.4,24.5,13.81
20210415182030_bEBEOuaQcag,121.7,28,13.81
20210415204142_ydYa7NGfDco,124.8,13,6.25
20210415134041_3JHdrojxzSw,102.4,16,9.375
20210416124747_ngi8blAZTEE,106.0,26.5,15
20210411195331_I85zA4ZG0zY,97.3,29,17.875
20210415175104_pE6dSsMM6nE,147.9,61,24.75
20210415142759_z5V_da908wA,150.4,23.5,9.374
20210415184801_SV0r0fWFlNs,109.1,17.5,9.625
20210415161742_oFU4fHTYDCc,114.5,42,22
20210412005919_JTqK7EIfm2o,93.7,28,17.93
20210415134133_3JHdrojxzSw,113.7,29,15.3
20210410143236_2MY-cfpXK90,101.8,28,16.5
20210415224933_cosVBV96E2g,105.8,26,14.75
20210408174352_cHk6eoQIyxQ,111.3,28,15.1
20210408172606_8Yo_hmuUaFs,101.1,32,19
20210411144750_OdQ4BWamueo,111.4,26,14
20210415134540_O7Ae-gYvHJk,88.7,26.5,17.93
20210411195254_I85zA4ZG0zY,102.8,29,16.93
20210414200118_APEWFGZLYxg,111.6,20,10.75
20210411001739_awr1OTuVZpE,100.0,29,17.4
20210411001214_qw0B7gPP1OY,109.5,81,44.4
20210412185702_UXQ8nR7dwbg,101.8,29,17.1
20210411145941_KW2THFXADuc,144.0,39,16.25
20210415181050_UFvL7wTFzl0,122.6,96,47
20210414201721_NzzOAFKDvq8,73.9,31,25.18
20210409222408_Q_rERmYw6eo,100.4,41,24.5
20210409222833_Q_rERmYw6eo,103.7,60,34.7
20210415185117_SV0r0fWFlNs,104.7,23,13.18
